Id_Votacao;Data;Resultado;TipoVotacao;Projeto;SiglaProjeto;Assunto
2013144;06/11/2013 00:00;;2;PDC;PDC1361/13;PDC N∫ 1361/2013 - REQUERIMENTO DE ADIAMENTO DA DISCUSS√O POR UMA SESS√O
2013145;27/11/2013 00:00;;;REQ;REQ0223/13;REQUERIMENTO - PREFER NCIA PARA VOTA«√O DO PRC 223/2013
2013146;27/11/2013 00:00;;1;PDC;PDC1361/13;PDC N∫ 1361/2013 - PROJETO DE DECRETO LEGISLATIVO
2013148;04/12/2013 00:00;;;;PEC0090/11;PEC N∫ 90/2011 - EMENDAS N∫S 1 E 2, COM PARECER PELA REJEI«√O
2013152;10/12/2013 00:00;;;;VET0044/13;VETO PARCIAL - N∫ 44 DE 2013
2013154;10/12/2013 00:00;;;;VET0045/13;VETO PARCIAL - N∫ 45 DE 2013 - DVS ART. 21
2014001;04/02/2014 00:00;;;;PL.6025/05;PL N∫ 6025/2005 - DVS - PP - ß 19 DO ART. 85 DA EMENDA AGLUTINATIVA
2014004;11/02/2014 00:00;;;;PL.6025/05;PL N∫ 6025/2005 - DVS - PTB - EMENDA AGLUTINATIVA N∫ 7
2014010;25/02/2014 00:00;;;;REQ9534/14;REQ N∫ 9534/2014 - REQUERIMENTO DE RETIRADA DE PAUTA
2014011;11/03/2014 00:00;;;;REQ9534/14;REQ N∫ 9534/2014 - REQUERIMENTO DE RETIRADA DE PAUTA
2014012;11/03/2014 00:00;;;;REQ9534/14;REQ N∫ 9534/2014 - REQUER CRIA«√O DE COMISS√O EXTERNA TEMPOR¡RIA
2014016;26/03/2014 00:00;;;;PL.6738/13;PL N∫ 6738/2013 - PROJETO DE LEI
2014018;01/04/2014 00:00;;;;MPV0627/13;MPV N∫ 627/2013 - PROJETO DE LEI DE CONVERS√O
2014020;02/04/2014 00:00;;;;MPV0627/13;MPV N∫ 627/2013 - DVS - DEM - ART. 103 DO PLV
2014021;02/04/2014 00:00;;;;MPV0627/13;MPV N∫ 627/2013 - REQ. PARA VOTA«√O EM GLOBO DOS DESTAQUES SIMPLES
